Sub,MIP_Con,Pic_Con,Avg_Pic_Rate,STAI1_pos,STAI1_neg,mood1_happy,mood1_sad,mood1_inspired,mood1_angry,STAI2_pos,STAI2_neg,mood2_happy,mood2_sad,mood2_inspired,mood2_angry,Age,"Gender (1=M,2=F)"
351,Neut,Nat,6.333333333,4,1,70,0,90,0,4,1,80,0,87,0,29,1
352,Neg,Nat,5.966666667,1,2.333333333,0,65,0,5,2,1,9,24,14,0,28,2
353,Neg,Anim,5.266666667,1.333333333,2.333333333,40,68,59,50,1.666666667,2.333333333,29,60,29,50,65,1
354,Neut,Nat,6.9,4,1,100,2,100,9,4,1,100,1,100,1,30,2
355,Neut,Anim,4,2,2.333333333,52,58,46,34,2.333333333,2.666666667,52,37,58,60,,1
356,Neut,Anim,6.4,3.666666667,1,77,3,90,0,4,1,94,6,84,0,28,2
357,Neg,Anim,5.266666667,3.333333333,1,50,29,49,0,4,1,70,19,50,0,40,1
358,Neg,Urb,5.5,1.333333333,1.333333333,35,39,50,0,2.333333333,1,54,0,51,0,33,1
359,Neg,Anim,5.1,3,1.333333333,63,35,71,27,3,1.333333333,68,9,60,12,19,1
360,Neg,Urb,4.833333333,1.333333333,2,5,69,13,30,2,1,25,1,20,1,46,2
361,Neg,Anim,7,1,1.666666667,5,100,6,2,3.333333333,1.333333333,52,14,0,0,42,2
362,Neut,Urb,6.5,3,1,100,0,100,0,4,1,100,0,100,0,24,1
363,Neut,Anim,4.6,3,1,63,0,72,0,3.666666667,1,54,0,60,0,35,1
364,Neut,Urb,1.733333333,3,1,71,0,71,0,2,1.666666667,0,50,0,0,36,2
365,Neut,Nat,4.966666667,1.666666667,1.333333333,10,0,70,0,1.666666667,2,20,10,25,0,51,1
366,Neg,Urb,5.9,2,2.333333333,3,100,0,0,2.333333333,1,49,2,21,0,28,1
367,Neg,Anim,4.966666667,1.333333333,3.666666667,0,100,4,2,2,2.666666667,22,40,36,8,24,2
368,Neg,Urb,6.066666667,3,2,7,73,13,6,3,1.333333333,52,1,31,6,26,1
369,Neut,Anim,6.666666667,3,1,49,1,9,1,3.666666667,1,72,0,73,0,59,2
370,Neg,Anim,5.4,2.333333333,2,38,82,24,70,3.333333333,2,74,6,58,31,43,1
371,Neut,Nat,6.966666667,4,1,83,0,84,0,4,1,100,0,100,0,40,1
372,Neut,Anim,5.1,3.333333333,1.666666667,78,0,74,0,2.333333333,2.666666667,38,0,54,0,33,1
373,Neg,Nat,5.233333333,3.333333333,1.666666667,60,20,50,10,4,1,70,0,34,0,30,1
374,Neut,Nat,4.633333333,3,1,50,0,39,0,3,1,50,0,50,0,31,2
375,Neg,Nat,3.466666667,1,4,1,100,1,40,1,3,0,91,1,0,64,2
376,Neut,Nat,6.433333333,2.333333333,1,0,0,44,0,4,1,100,0,100,0,34,2
377,Neut,Anim,6.766666667,2.666666667,1.666666667,29,0,40,0,3,1.333333333,30,0,40,0,55,2
378,Neg,Nat,3.766666667,1.666666667,1.333333333,5,20,0,0,2,1,9,0,0,0,41,1
379,Neg,Nat,6.366666667,2,2,0,20,0,0,4,1,70,0,30,0,29,1
380,Neut,Nat,5.166666667,2.666666667,1.666666667,47,0,68,0,3.333333333,1.333333333,50,0,71,0,52,1
381,Neut,Nat,7,3,1,83,0,51,0,4,1,100,0,100,0,49,1
382,Neg,Urb,5.666666667,3.666666667,3.666666667,5,86,12,7,2.666666667,3.333333333,65,64,51,45,34,2
383,Neut,Anim,5.666666667,2.666666667,1,9,0,9,0,2.666666667,1,39,0,20,0,28,2
384,Neg,Anim,6.133333333,2.333333333,1,3,71,30,16,3,1,62,0,15,0,25,2
385,Neut,Anim,6.6,4,1,91,0,81,0,4,1,98,0,96,0,47,2
386,Neg,Nat,7,3,1.333333333,0,0,0,0,3,1,5,0,20,0,34,2
387,Neut,Nat,6.866666667,2.333333333,1,10,0,0,0,3.333333333,1,30,0,10,0,22,2
388,Neg,Urb,4.833333333,1.666666667,2,21,39,45,18,3.333333333,1,25,9,64,2,30,2
389,Neut,Nat,6.066666667,3,1,81,0,71,0,3,1,80,0,81,0,34,2
390,Neut,Nat,5.366666667,2.333333333,1,3,0,8,0,2,1.666666667,6,0,0,39,29,1
391,Neut,Nat,6.6,3.666666667,1,71,9,51,0,4,1,60,0,61,0,62,2
392,Neg,Nat,6.533333333,2.333333333,1,10,37,3,3,2.333333333,1,14,0,3,0,58,2
